Question,Answer,Link,Hint1,Hint2,Hint3,Hint4,Hint5,Rank1,Rank2,Rank3,Rank4,Rank5
"Identify the space fantasy series known for its use of the Force, lightsabers, and epic space battles.",Star Wars,https://en.wikipedia.org/wiki/Star_Wars,"As of 2023, the series has three film trilogies, divided into original trilogy, prequel, and sequel trilogies.","This franchise features major factions such as The Republic, The Empire, The Separatists, The Rebels, The Resistance, and The First Order.",Matthew Wood voices a cyborg general in the series.,George Lucas is the creator of this series.,The first film in the franchise debuted in 1977.,1,2,5,3,4
"In 2009, who made a groundbreaking transfer to a top Spanish club for a then-world record fee?",Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,"This Portuguese footballer, often considered one of the greatest of all time, made headlines with his record-breaking transfer to a top Spanish club in 2009.",He moved from Manchester United to Real Madrid in a transfer deal that was the most expensive in football history at the time.,"His transfer fee was approximately £80 million, which was a world record fee back in 2009.","After this transfer, he went on to wear the iconic number 7 jersey for his new Spanish club","He continued to achieve remarkable success at the Spanish club, winning numerous individual awards and helping the team win several UEFA Champions League titles.",1,2,3,4,5
What video game from 2013 features a gripping storyline set 20 years after a global pandemic decimated civilization?,The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us,It is a horror video game.,It was made into a television series.,It involves a girl and a adult leading her to a certain place.,It was released on PlayStation 3  originally and then PlayStation 4 and 5 in later years.,The creatures in the game are infected by a certain fungus.,3,1,2,4,5
Which character is known for its distinctive mushroom-shaped head in the Mario universe?,Toad,https://en.wikipedia.org/wiki/Toad_(Nintendo),This character is a close friend and loyal companion of Mario.,The character often wears a white vest and a blue cap.,"In the Mario Kart series, this character is known for their agility.",This character is typically seen in the Mushroom Kingdom.,The character's voice is high-pitched and distinctive.,1,2,3,4,5
"Identify the activist who spent 27 years in prison for his involvement in the struggle against apartheid, only to become South Africa's first black president.",Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,This individual was a key figure in the anti-apartheid movement and spent a significant portion of his life in prison.,He was elected as the first black president of South Africa in 1994.,"Born in 1918, this activist was given the tribal name ""Madiba.""",He co-founded the militant group Umkhonto we Sizwe in the fight against apartheid.,"Known for his philosophy of reconciliation, he played a pivotal role in South Africa's transition from apartheid to a democratic society.",3,5,4,2,1
What country is the birthplace of the Red Cross?,Switzerland,https://en.wikipedia.org/wiki/Switzerland,This country is known for its neutrality in international conflicts and is home to several international organizations.,"The city of Geneva, located in this country, is where the Red Cross was founded.",It is a landlocked European nation with a reputation for its picturesque landscapes and precision watchmaking.,"This country is famous for its delicious chocolates and cheese, often associated with fondue.",It is the country where the Swiss flag features a white cross on a red background.,3,1,2,4,5
Name the high fantasy series that follows the quest to destroy the One Ring and defeat the Dark Lord Sauron.,The Lord of the Rings,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings,This series is an epic fantasy masterpiece written by J.R.R. Tolkien and consists of three volumes.,The central plot revolves around a perilous journey to Mount Doom to destroy a powerful and corrupting artifact known as the One Ring.,"The main antagonist of the series is the evil Dark Lord Sauron, who seeks to regain the Ring to consolidate his power.","The story is set in the mythical world of Middle-earth, featuring a diverse array of races, including hobbits, elves, dwarves, and men.","It has been adapted into a highly successful film trilogy directed by Peter Jackson, further popularizing the rich and detailed world created by Tolkien.",1,2,3,4,5
"What universe features characters like The Flash, Cyborg, and Aquaman as part of the Justice League?",DC Extended Universe,https://en.wikipedia.org/wiki/DC_Extended_Universe,"This cinematic universe features a roster of iconic DC Comics characters, including The Flash, Cyborg, and Aquaman, who are part of the Justice League.","The movies set in this universe are known for their interconnected storytelling, creating a shared universe for DC Comics characters.","It is a film franchise that includes popular superheroes like Superman, Wonder Woman, and Batman alongside characters like The Flash, Cyborg, and Aquaman.","This cinematic universe has had several directors and producers shaping its films, including Zack Snyder's involvement in its early development.","Many of the movies in this universe involve epic battles and collaborations between superheroes and supervillains, creating a rich and expansive cinematic world.",1,2,3,4,5
"Identify the Electric-type Pokémon that is often seen as the partner of the Pokémon Trainer, Ash Ketchum.",Pikachu,https://en.wikipedia.org/wiki/Pikachu,"This Pokémon is known for its yellow fur, round cheeks, and lightning bolt-shaped tail.","It is often seen as the partner and main Pokémon of the iconic Pokémon Trainer, Ash Ketchum, in the Pokémon animated series.","the ability to generate electricity and is famous for its signature move, ""Thunderbolt.",This Pokémon evolves from Pichu when it has a strong bond with its Trainer and is exposed to a Thunder Stone.,it the official mascot of the Pokémon franchise and one of the most recognizable Pokémon in the world.,1,2,3,4,5
Name the leader who advocated for nonviolent civil disobedience and played a key role in India's fight against British colonial rule.,Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi,"He had an unwavering commitment to non-violence and was nominated for the Nobel Peace Prize five times, yet he never claimed the honor.","His philosophy of non-violence influenced world leaders such as Nelson Mandela, who credited him a significant source of inspiration in his fight in South Africa.",He was a champion of women's rights and gender equality significantly so that it left a mark on history.,He had a passion for cleanliness and sanitation and firmly believed that a clean environment was essential for everyone.,He had a fear of public speaking and It bothered him so bad that he would have panic attacks so terribly he was unable to speak at all.,1,2,3,4,5
Identify the show that revolves around the partnership between Walter White and Jesse Pinkman as they navigate the dangerous world of illegal drug trade.,Breaking Bad,https://en.wikipedia.org/wiki/Breaking_Bad,This TV show follows the transformation of a high school chemistry teacher into a methamphetamine manufacturer.,"The main characters of this show are Walter White, a former teacher, and Jesse Pinkman, a small-time methamphetamine manufacturer.",The show's title is a term from Southern slang that means turning to a life of crime or devoting oneself to a bad cause.,"Bryan Cranston, who plays the main character, won multiple Emmy Awards for his outstanding performance in this series.","The show received critical acclaim for its writing, acting, and portrayal of moral consequences, and it has a strong fan following.",1,2,3,4,5
Identify the British politician known for his distinctive blond hair and often eccentric demeanor.,Boris Johnson,https://en.wikipedia.org/wiki/Boris_Johnson,"This British politician is easily recognizable by his unique and striking appearance, which includes distinctive blond hair.","Known for his unorthodox and sometimes eccentric behavior, he has a public persona that often includes colorful and unexpected actions.","He has had a significant political career, including serving as the Mayor of London and becoming a prominent figure on the national stage.","His political style is characterized by his humorous and unfiltered communication, which has both endeared him to some and led to controversy with others.","This politician's leadership has been a topic of debate and discussion in the UK, making him a polarizing and widely recognized figure in British politics.",1,2,3,4,5
Who was married to Ryan Reynolds fom 2008 to 2011?,Scarlet Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,"Hint: She is a famous actress known for her roles in ""Lost in Translation"" and ""The Avengers.""",She was married to Ryan Reynolds from 2008 to 2011 and later married a French businessman.,She has appeared in both Marvel and Woody Allen films.,Her first name is often associated with a shade of red.,She was born in New York City in 1984 and began her acting career at a young age.,1,2,3,4,5
"What term is used to describe a transitional phase between capitalism and communism, where the state plays a significant role in managing the economy?",Socialism,https://en.wikipedia.org/wiki/Socialism,This economic and political ideology aims to create a more equitable and socially responsible system.,It advocates for collective ownership and control of key industries and resources.,"In this system, the government often has a strong presence in economic planning and regulation.",It strives to reduce economic inequalities and provide essential services to all members of society.,It is characterized by a balance between private and public ownership of resources and production.,1,2,3,4,5
Name the musical device that modifies a person's voice by adding a resonating membrane.,Kazoo,https://en.wikipedia.org/wiki/Kazoo,This musical device is often made of metal or plastic and consists of a small tube with a resonating membrane at one end.,"When a person hums or sings into this device, the resonating membrane vibrates, altering the sound and producing a unique, buzzing tone.","It is a simple and inexpensive instrument, often used for recreational purposes, children's music, or as a novelty item.","played by blowing air into the device and using vocal techniques such as humming, singing, or speaking to create different sounds.","This instrument has been used in various musical genres, including folk, jazz, and popular music, adding a distinctive and playful element to compositions.",1,2,3,4,5
"What nation, located in Southern Europe, is famous for its delicious cuisine, including pasta, pizza, and gelato?",Italy,https://en.wikipedia.org/wiki/Italy,This Southern European nation is renowned for its world-famous pasta dishes like spaghetti and lasagna.,"It is the birthplace of pizza, with its Neapolitan and Margherita styles known and loved worldwide.","You can find some of the most delectable ice cream in the world in this country, particularly the creamy and flavorful dessert known as gelato.","The cuisine of this nation is deeply rooted in a rich history, with regional specialties that vary across the country, from Tuscany to Sicily.","Leonardo da Vinci, Michelangelo, and Galileo Galilei are just a few of the famous individuals who have hailed from this nation, contributing to its cultural and culinary heritage.",5,4,3,2,1
Identify the character who sacrifices himself in a lightsaber duel with Darth Vader in order to allow Luke and his allies to escape.,Obi-Wan Kenobi,https://en.wikipedia.org/wiki/Obi-Wan_Kenobi,This character is a Jedi Master who played a crucial role in training Anakin Skywalker,He is known for his wisdom and is often portrayed as a mentor figure to the main protagonist,This character is portrayed by Sir Alec Guinness in the original trilogy and by Ewan McGregor in the prequel trilogy.,"In ""Star Wars: Episode IV - A New Hope,"" this character faces Darth Vader in a lightsaber duel to ensure the escape of his allies.","After the lightsaber duel, this character becomes one with the Force, leaving behind only his robes.",3,4,2,5,1
What is the name of the famous Austrian neurologist and the founder of psychoanalysis?,Sigmund Freud,https://en.wikipedia.org/wiki/Sigmund_Freud,This Austrian neurologist is widely recognized as the founder of psychoanalysis and made significant contributions to our understanding of the human mind.,"He's known for introducing concepts like the unconscious mind, the Oedipus complex, and the interpretation of dreams, all of which became central to the field of psychology.","The famous neurologist, who was a pioneer in the field of psychology, hailed from Vienna and had a profound influence on the study of human behavior and mental processes.",This iconic figure in the history of psychology was a proponent of the idea that our behaviors are deeply rooted in our unconscious desires and experiences.,"He was not only a neurologist and psychoanalyst but also an author of several groundbreaking works, including ""The Interpretation of Dreams.""",1,2,3,4,5
Name the player who returned to AC Milan in 2019 for a second time and continued to make a significant impact on the field.,Zlatan Ibrahimović,https://en.wikipedia.org/wiki/Zlatan_Ibrahimovi%C4%87,"This Swedish footballer rejoined AC Milan in 2019, making a significant impact with his performance on the field","Known for his charismatic personality and incredible goal-scoring abilities, he played a pivotal role during his second stint with AC Milan.","This player has had a prolific career with clubs like Barcelona, Paris Saint-Germain, and LA Galaxy, but his return to AC Milan in 2019 garnered significant attention.","During his second tenure with AC Milan, he wore the number 21 jersey and was celebrated for his leadership and experience.","He is often referred to as one of the most iconic and enigmatic figures in football, and his impact on AC Milan in 2019 was a testament to his enduring skill and influence.",1,2,3,4,5
Which country hosted the first Industrial Revolution and played a significant role in shaping modern economic and technological developments?,England,https://en.wikipedia.org/wiki/England,"In the late 18th century, this country experienced a profound transformation in industry and technology.","The Industrial Revolution, marked by the transition to new manufacturing processes, began in this country.","Notably, the textile industry played a crucial role in the early stages of the Industrial Revolution in this nation.","The invention of the steam engine, a key driver of industrialization, took place in this country.",Major cities like Manchester and Birmingham were at the forefront of industrial development in this nation during the Industrial Revolution.,4,5,2,3,1
What was the wealthiest area during the Six Dynasties of China?,Zhejiang,https://en.wikipedia.org/wiki/Zhejiang,"During the Six Dynasties period in ancient China, this region was widely recognized as the wealthiest and most prosperous.","It is situated along the eastern coast of China, and its wealth was largely driven by its strategic location for trade and commerce.",The region's economic success during this era was closely tied to its flourishing port cities and trade routes.,"This area's affluence was not only financial but also cultural, as it fostered a rich and diverse artistic scene.",Some of the most influential poets and scholars in Chinese history were associated with this prosperous region during the Six Dynasties period.,1,2,3,4,5
What is the common name for MPEG-2 Audio Layer III?,MP3,https://en.wikipedia.org/wiki/MP3,Hint: The common name for MPEG-2 Audio Layer III is a three-letter acronym widely used for digital audio.,"Hint: It's the standard file format for compressing audio, making it easy to store and share music and other audio content.","Hint: You'll often see this format used for downloadable music, podcasts, and audiobooks due to its compact size and good audio quality.","Hint: This technology revolutionized the music industry, enabling the proliferation of portable music players and digital audio distribution.","Hint: The common name for this format is synonymous with digital audio files, and it's easily recognized by its file extension.",2,2,4,5,1
Who was briefly held in custody after World War II and charged with treason due to his radio broadcasts supporting Benito Mussolini and the Axis powers?,Ezra Pound,https://en.wikipedia.org/wiki/Ezra_Pound,"He faced charges of treason for his radio broadcasts, which supported Benito Mussolini and the Axis powers","This American poet, known for his modernist works, was briefly held in custody after World War II.","Despite his literary contributions, his political affiliations led to controversy and legal consequences","He spent time in detention at a U.S. Army camp in Pisa, Italy, after the war",His Wikipedia article provides detailed information about his post-World War II activities and the charges against him,1,2,3,4,5
"What animated show features a supporting cast of characters, such as Ned Flanders, Krusty the Clown, and Mr. Burns, each contributing to the show's comedic richness?",The Simpsons,https://en.wikipedia.org/wiki/The_Simpsons,"This long-running animated show features a dysfunctional family living in the fictional town of Springfield, and it has a wide array of colorful characters that contribute to its comedic appeal.","The show's central character is a bumbling but lovable father named Homer, and his interactions with characters like Ned Flanders and Mr. Burns often lead to hilarious situations.","One of the show's key elements is its satirical take on various aspects of American culture, making it a humorous and socially relevant series.","This animated series has received numerous awards and critical acclaim over the years, solidifying its status as a cultural icon and a comedy classic.","Created by Matt Groening, the show has been on the air for several decades, making it one of the longest-running and most influential animated series in television history.",1,2,3,4,5
"Who was the subject of the 2014 biographical drama film 'Pawn Sacrifice,' depicting his life?",Bobby Fischer,https://en.wikipedia.org/wiki/Bobby_Fischer,"The main character of the 2014 biographical drama film ""Pawn Sacrifice"" was a legendary American chess player.",This individual became a World Chess Champion and is widely regarded as one of the greatest chess players in history.,He was known for his intense rivalry with the Soviet Union's top chess players during the Cold War era.,"Born in 1943, he had a troubled personal life and was known for his eccentricities.","The film ""Pawn Sacrifice"" primarily focuses on his life and his famous 1972 World Chess Championship match against Boris Spassky.",1,2,3,4,5
"Identify the group whose debut album, 'Appetite for Destruction,' is one of the best-selling albums of all time.",Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses,This American rock band was formed in Los Angeles in 1985.,"The band's original lineup consisted of Axl Rose (vocals), Slash (lead guitar), Izzy Stradlin (rhythm guitar), Duff McKagan (bass), and Steven Adler (drums)","Their debut album, ""Appetite for Destruction,"" was released in 1987 and is known for its iconic cover featuring a cross and skulls of the band members.","Some of their popular songs include ""Sweet Child o' Mine,"" ""Welcome to the Jungle,"" and ""Paradise City.","The band faced controversies, lineup changes, and long hiatuses, but they remain one of the most influential and successful rock bands in history.",1,2,3,4,5
Who is the Swedish YouTuber known for his Let's Play and vlog content?,PewDiePie,https://en.wikipedia.org/wiki/PewDiePie,This YouTuber is the most subscribed individual creator on the platform.,"He was born in Gothenburg, Sweden, in 1989.","Known for his Let's Play videos, he gained widespread recognition for his series on horror video games.","This content creator often incorporates humor, commentary, and memes in his videos.",His real name is Felix Arvid Ulf Kjellberg.,1,2,3,4,5
"What European nation is known for its traditional cuisine, which includes dishes like Ćevapi, Sarma, and Ajvar?",Serbia,https://en.wikipedia.org/wiki/Serbia,Prehistory and antiquity,Middle Ages,Ottoman and Habsburg rule,Revolution and independence,The Balkan Wars and World War I,4,3,5,5,5
What actor starred as Count Olaf in the television adaptation of Lemony Snicket's 'A Series of Unfortunate Events'?,Neil Patrick Harris,https://en.wikipedia.org/wiki/Neil_Patrick_Harris,This actor is well-known for his versatility in both acting and singing.,"He is famous for his role in the TV series ""How I Met Your Mother.","This actor has hosted various awards shows, including the Oscars and the Tony Awards.","He has also played significant roles in projects like ""Doogie Howser, M.D."" and ""Gone Girl.",He's openly gay and has been an advocate for LGBTQ+ rights.,1,2,3,4,5
"Name the band that consists of members Axl Rose, Slash, Duff McKagan, Dizzy Reed, Richard Fortus, and Frank Ferrer.",Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses,This band was formed in Los Angeles in 1985.,The lead vocalist of this band is known for his distinctive high-pitched voice and often controversial lyrics.,"One of their most famous albums is titled ""Appetite for Destruction,"" featuring hits like ""Sweet Child o' Mine.""",The guitarist of this band is recognized for his iconic top hat and long curly hair.,"In 2016, this band embarked on the ""Not in This Lifetime... Tour,"" one of the highest-grossing concert tours in history.",2,1,3,4,5
What 2017 horror film is based on the novel of the same name by Stephen King?,It,https://en.wikipedia.org/wiki/It_(2017_film),This 2017 horror film is based on a novel by Stephen King.,The film features a terrifying clown as one of its main characters.,The story revolves around a group of children facing their deepest fears in a small town.,The title of the film is a two-letter word.,The film's antagonist goes by the name Pennywise.,1,2,3,4,5
Name the artist whose debut album named after himself was released in 1994 and featured the hit single 'Think of You.',Usher,https://en.wikipedia.org/wiki/Usher_(musician),His most popular album features the hit single Burn,Known as the king of r&b,Made a hit song ft lil jon and ludacris,Known a lot for making sexy club music,He dated one of the most popular TLC member,1,3,2,5,4
What city is known to be home to Australia's most extensive freeway network?,Melbourne,https://en.wikipedia.org/wiki/Melbourne,This city is located in the southeastern part of Australia.,It is the capital of the state of Victoria.,The city is known for its well-planned road network and extensive freeway system.,It is often referred to as the cultural and sporting capital of Australia.,The city is famous for its tram network and is also home to several major universities.,1,2,3,4,5
"Identify the country that is landlocked and shares borders with Hungary, Romania, Bulgaria, North Macedonia, Croatia, Bosnia and Herzegovina, and Montenegro.",Serbia,https://en.wikipedia.org/wiki/Serbia,This country is located in southeastern Europe.,It was formerly part of Yugoslavia.,Its capital city is Belgrade.,The country has a diverse cultural and ethnic heritage.,The Danube River flows through this country.,1,2,3,4,5
What group created the comedy sketch 'Spam' that humorously depicted the overuse of the word 'spam' in a cafe setting?,Monty Python,https://en.wikipedia.org/wiki/Monty_Python,They were a British comedy troupe formed in 1969 that came to prominence for a sketch comedy series. Their work has been compared to the Beatles.,"Their work developed into a larger collection that included live shows, films, albums, books, and musicals; their influence on comedy.","They had creative control which allowed them to experiment with form and content, discarding rules of television comedy. They followed their television work by making the films.","Two members met at Oxford University, where they performed together with the Oxford Revue.",One of the members names was Jones.,1,3,2,4,5
"Who is the American rapper, songwriter, and record producer known for his stage name Slim Shady?",Eminem,https://en.wikipedia.org/wiki/Eminem,This American artist's real name is Marshall Bruce Mathers III.,"He is known for his alter ego ""Slim Shady"" and is one of the best-selling music artists of all time.","He gained widespread popularity with albums like ""The Slim Shady LP"" and ""The Marshall Mathers LP.""","This rapper has won numerous Grammy Awards and is often referred to as the ""Rap God.""",He is known for his rapid and complex lyricism and has a significant impact on the hip-hop genre.,2,3,4,5,1
"What country is renowned for its Carnival parade in Rio de Janeiro, featuring elaborate floats and costumes?",Brazil,https://en.wikipedia.org/wiki/Brazil,This country is the largest in South America and is known for its diverse culture and landscapes.,"The capital of this country is Brasília, but the Carnival parade in Rio de Janeiro is a major cultural event.","The country is famous for its Amazon Rainforest, which is home to a rich variety of flora and fauna.","Portuguese is the official language of this nation, a reflection of its colonial history.","The Carnival in Rio de Janeiro is one of the largest and most famous in the world, attracting millions of visitors each year.",3,4,2,5,1
"What rock group's anthem 'We Will Rock You' became a stadium and arena favorite, often performed at sporting events worldwide?",Queen,https://en.wikipedia.org/wiki/Queen_(band),They are from Britain.,The lead singer is Freddy Mercury,They sang Bohemian Rhapsody.,They started in 1970.,There are four members.,2,1,3,4,5
Name the comedy troupe whose work had a significant impact on the comedy genre and inspired generations of comedians and writers.,Monty Python,https://en.wikipedia.org/wiki/Monty_Python,"Their television series, which ran for several seasons, is often considered a classic in the world of comedy.","They are known for their surreal and absurd humor, blending social satire with slapstick comedy.",This comedy troupe's iconic sketches and routines often involve surreal and absurd situations.,"Their work often challenged conventions and pushed the boundaries of humor, exploring themes of religion, politics, and everyday life through an irreverent lens.",This British comedy troupe was formed in the late 1960s and gained international fame in the 1970s.,2,5,4,3,1
"What gaming platform, part of the fifth generation of video game consoles, marked Nintendo's transition to 3D gaming experiences?",Nintendo 64,https://en.wikipedia.org/wiki/Nintendo_64,This gaming platform was released in the mid-1990s.,It is known for introducing the concept of 3D gaming experiences.,The controller for this platform featured a unique design with a central analog stick.,"One of its flagship games, featuring a popular Nintendo character, is set in a 3D world and involves collecting stars.",This console used cartridges instead of CDs for game storage.,3,5,2,4,1
Name the anime and manga franchise that centers around the search for a legendary treasure said to make its possessor the Pirate King.,One Piece,https://en.wikipedia.org/wiki/One_Piece,Has characters ranging from dwarves to fish-men.,Magna was created in Japan.,Has a Guinness world record for most copies published.,The main character is a pirate and has a name known for liking bananas.,It was made into a tv series in 2009.,3,1,5,2,4
"Which rock band's original lineup includes Mick Jagger, Keith Richards, Charlie Watts, Brian Jones, and Bill Wyman?",The Rolling Stones,https://en.wikipedia.org/wiki/The_Rolling_Stones,This English rock band formed in London in 1962 spans across seven decades,"A few of their well known songs include Paint it Black, Get Off My Cloud, I Can't Get No Satisfaction and Wild Horses.","Two of the members became classmates and childhood friends in 1950 in Dartford, Kent.",Their well-known band logo consists of big lips and a tongue.,"According to OfficialCharts.com, the band is ranked the fourth bestselling group of all time.",4,2,3,1,5
In which country is the historic Habsburg family associated with a long and influential reign?,Austria,https://en.wikipedia.org/wiki/Austria,This is a land locked country located in the central Alps that is made up of 9 federal states.,"This country is bordered by Germany, Czech Republic, Hungary, Italy, Switzerland to name a few.",After leaving the Holy Roman Empire in 1806 it became an empire of its own.,"This country's Emperor declared war on Serbia, which ultimately led to World War I.",This country was annexed by Nazi Germany right before World War 2 and later regained it's sovereignty and declared neutrality in 1955.,1,2,5,3,4
"Which religion emerged from the ideas presented in Dianetics, a book written by L. Ron Hubbard?",Scientology,https://en.wikipedia.org/wiki/Scientology,South Park famously made fun of this religion in 2005.,Tom Cruise is a famous member of this religious organization.,The official organization for this belief system was founded in 1953.,Xenu is an import figure in the religion.,This religion played a role in the trial of former That '70s Show star Danny Masterson.,3,1,4,2,5
What is the economic and political centre of Uruguay?,Montevideo,https://en.wikipedia.org/wiki/Montevideo,"The city is home to the headquarters of Mercosur, the South American common market.","The city is located on the south coast of Uruguay, at the mouth of the Río de la Plata.",The city is the capital of Uruguay and its most populous city.,The city is a major port city and a center for trade and finance.,"The city is home to many of Uruguay's most important cultural institutions, including the National Museum of Visual Arts and the Teatro Solís.",2,3,1,4,5
"What ancient religion, with roots in the Indian subcontinent, is known for its diverse beliefs, rituals, and philosophical traditions?",Hinduism,https://en.wikipedia.org/wiki/Hinduism,Fifteen percent of the worlds population follows this religion.,There are four denominations of this religion.,It is often referred to as a family of religions instead of a single religion.,It is the major religion in India.,It is currently the third fastest growing religion in the world.,4,5,2,1,3
Who spent the majority of his career playing for FC Barcelona before joining Paris Saint-Germain (PSG) in 2021?,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,He is an Argentine professional footballer who plays as a forward for and captains both Major League Soccer club Inter Miami and the Argentina national team.,"He is regarded as the greatest player of all time with 8 Ballon d'Or awards and 6 European Golden Shoes, and in 2020 he was named to the Ballon d'Or Dream Team.","He has scored over 800 senior career goals for club and country, and has the most goals by a player for a single club.",He was greatly affected by his grandmothers death when he was 11 years old since then he has celebrated his goals by looking up and pointing to the sky in tribute to his grandmother.,He has the most goals by a player for a single club at 672.,1,4,3,5,2
In what empire did the Hagia Sophia become a mosque after the conquest of Constantinople in 1453?,Ottoman Empire,https://en.wikipedia.org/wiki/Ottoman_Empire,The empire was founded at the end of the 13th century in northwestern Anatolia in the town of Sogut by the Turkoman tribal leader Osman I.,"The Empire was first subdivided into provinces, in the sense of fixed territorial units with governors appointed by the sultan, in the late 14th century.","An estimate of 7,230,660 for the first census held in 1831.",The first military unit of this State was an army that was organized by Osman I from the tribesmen inhabiting the hills of western Anatolia in the late 13th century.,The modernization of this Empire in the 19th century started with the military.,1,4,2,3,5
"Which musician starred in several popular films, including 'Love Me Tender' and 'Jailhouse Rock,' contributing to his fame as a movie star?",Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,This musician once called President Jimmy Carter to ask for a presidential pardon for a friend of his.,"This musician's music is featured prominently in the Disney movie ""Lilo & Stitch"".",This star was given a specially-made Bureau of Narcotics badge to him by then president Richard Nixon.,The star died while sitting on the toilet.,Austin Butler played the celebrity in a movie about his life.,5,2,4,1,3
