question,answer,link
Name the player who returned to AC Milan in 2019 for a second time and continued to make a significant impact on the field.,Zlatan Ibrahimović,https://en.wikipedia.org/wiki/Zlatan_Ibrahimovi%C4%87
Which country hosted the first Industrial Revolution and played a significant role in shaping modern economic and technological developments?,England,https://en.wikipedia.org/wiki/England
Identify the character whose legal office is located in a strip mall and serves as a hub for various criminals seeking legal advice in 'Breaking Bad.',Saul Goodman,https://en.wikipedia.org/wiki/Saul_Goodman
What was the wealthiest area during the Six Dynasties of China?,Zhejiang,https://en.wikipedia.org/wiki/Zhejiang
What is the common name for MPEG-2 Audio Layer III?,MP3,https://en.wikipedia.org/wiki/MP3
Who was briefly held in custody after World War II and charged with treason due to his radio broadcasts supporting Benito Mussolini and the Axis powers?,Ezra Pound,https://en.wikipedia.org/wiki/Ezra_Pound
"What animated show features a supporting cast of characters, such as Ned Flanders, Krusty the Clown, and Mr. Burns, each contributing to the show's comedic richness?",The Simpsons,https://en.wikipedia.org/wiki/The_Simpsons
"Who was the subject of the 2014 biographical drama film 'Pawn Sacrifice,' depicting his life?",Bobby Fischer,https://en.wikipedia.org/wiki/Bobby_Fischer
"Identify the group whose debut album, 'Appetite for Destruction,' is one of the best-selling albums of all time.",Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses
Identify the automotive brand that produces the popular hybrid model called the 'Prius.',Toyota,https://en.wikipedia.org/wiki/Toyota
Who is the Swedish YouTuber known for his Let's Play and vlog content?,PewDiePie,https://en.wikipedia.org/wiki/PewDiePie
"What European nation is known for its traditional cuisine, which includes dishes like Ćevapi, Sarma, and Ajvar?",Serbia,https://en.wikipedia.org/wiki/Serbia
Identify the team whose iconic Old English 'D' is a widely recognized symbol in baseball.,Detroit Tigers,https://en.wikipedia.org/wiki/Detroit_Tigers
What actor starred as Count Olaf in the television adaptation of Lemony Snicket's 'A Series of Unfortunate Events'?,Neil Patrick Harris,https://en.wikipedia.org/wiki/Neil_Patrick_Harris
"Identify the structure also known as the Flavian Amphitheatre, named after the Flavian dynasty of emperors.",Colosseum,https://en.wikipedia.org/wiki/Colosseum
Who broke FC Barcelona's all-time goal-scoring record?,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi
"Identify the character who has faced formidable villains such as Red Skull, Winter Soldier, and Thanos in various storylines.",Captain America,https://en.wikipedia.org/wiki/Captain_America
"Name the band that consists of members Axl Rose, Slash, Duff McKagan, Dizzy Reed, Richard Fortus, and Frank Ferrer.",Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses
What 2017 horror film is based on the novel of the same name by Stephen King?,It,https://en.wikipedia.org/wiki/It_(2017_film)
Name the artist whose debut album named after himself was released in 1994 and featured the hit single 'Think of You.',Usher,https://en.wikipedia.org/wiki/Usher_(musician)
What city is known to be home to Australia's most extensive freeway network?,Melbourne,https://en.wikipedia.org/wiki/Melbourne
"Identify the country that is landlocked and shares borders with Hungary, Romania, Bulgaria, North Macedonia, Croatia, Bosnia and Herzegovina, and Montenegro.",Serbia,https://en.wikipedia.org/wiki/Serbia
Who is the YouTuber recognized for his 'Bro Army' fanbase and 'Brofist' symbol?,PewDiePie,https://en.wikipedia.org/wiki/PewDiePie
What group created the comedy sketch 'Spam' that humorously depicted the overuse of the word 'spam' in a cafe setting?,Monty Python,https://en.wikipedia.org/wiki/Monty_Python
"Who is the American rapper, songwriter, and record producer known for his stage name Slim Shady?",Eminem,https://en.wikipedia.org/wiki/Eminem
"What country is renowned for its Carnival parade in Rio de Janeiro, featuring elaborate floats and costumes?",Brazil,https://en.wikipedia.org/wiki/Brazil
"In what city would you find the Wat Arun temple, known for its stunning architecture?",Bangkok,https://en.wikipedia.org/wiki/Bangkok
"What rock group's anthem 'We Will Rock You' became a stadium and arena favorite, often performed at sporting events worldwide?",Queen,https://en.wikipedia.org/wiki/Queen_(band)
"Identify the show where the character Reese, portrayed by Justin Berfield, is known for his rebellious and mischievous behavior.",Malcolm in the Middle,https://en.wikipedia.org/wiki/Malcolm_in_the_Middle
Name the comedy troupe whose work had a significant impact on the comedy genre and inspired generations of comedians and writers.,Monty Python,https://en.wikipedia.org/wiki/Monty_Python
"What gaming platform, part of the fifth generation of video game consoles, marked Nintendo's transition to 3D gaming experiences?",Nintendo 64,https://en.wikipedia.org/wiki/Nintendo_64
Name the anime and manga franchise that centers around the search for a legendary treasure said to make its possessor the Pirate King.,One Piece,https://en.wikipedia.org/wiki/One_Piece
"Which rock band's original lineup includes Mick Jagger, Keith Richards, Charlie Watts, Brian Jones, and Bill Wyman?",The Rolling Stones,https://en.wikipedia.org/wiki/The_Rolling_Stones
In which country is the historic Habsburg family associated with a long and influential reign?,Austria,https://en.wikipedia.org/wiki/Austria
"Which religion emerged from the ideas presented in Dianetics, a book written by L. Ron Hubbard?",Scientology,https://en.wikipedia.org/wiki/Scientology
What is the economic and political centre of Uruguay?,Montevideo,https://en.wikipedia.org/wiki/Montevideo
"What ancient religion, with roots in the Indian subcontinent, is known for its diverse beliefs, rituals, and philosophical traditions?",Hinduism,https://en.wikipedia.org/wiki/Hinduism
Who spent the majority of his career playing for FC Barcelona before joining Paris Saint-Germain (PSG) in 2021?,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi
In what empire did the Hagia Sophia become a mosque after the conquest of Constantinople in 1453?,Ottoman Empire,https://en.wikipedia.org/wiki/Ottoman_Empire
"Which musician starred in several popular films, including 'Love Me Tender' and 'Jailhouse Rock,' contributing to his fame as a movie star?",Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
"What fictional figure, created by Matt Groening, is the central character of the longest-running American sitcom and animated program?",Homer Simpson,https://en.wikipedia.org/wiki/Homer_Simpson
Name the country that is the birthplace of Islam and holds great cultural and historical significance.,Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Which country has the highest nominal wealth per adult in the world?,Switzerland,https://en.wikipedia.org/wiki/Switzerland
What Lovecraftian cosmic horror is often depicted with a cult that seeks to bring about its return to power?,Cthulhu,https://en.wikipedia.org/wiki/Cthulhu
What scientific instrument is designed to detect and measure the intensity of ground motion caused by seismic waves?,Seismometer,https://en.wikipedia.org/wiki/Seismometer
"Who is the video game character that was created to rival Nintendo's mascot, Mario, and became a symbol of the 'console wars' in the 1990s?",Sonic the Hedgehog,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog
"Identify the platform acquired by Facebook, known for its emphasis on visual storytelling through images, filters, and short video clips.",Instagram,https://en.wikipedia.org/wiki/Instagram
"Which religion acknowledges the cyclical nature of time, with the concepts of Yugas and the eternal cosmic order known as dharma?",Hinduism,https://en.wikipedia.org/wiki/Hinduism
"Identify the company famous for creating beloved characters such as Donald Duck, and Goofy.",Disney,https://en.wikipedia.org/wiki/The_Walt_Disney_Company
In which European country can you find the iconic city of Bologna?,Italy,https://en.wikipedia.org/wiki/Italy
"Identify the social media platform known for its square-shaped photos, various filters, and features such as Stories, IGTV, and Reels to enhance user engagement.",Instagram,https://en.wikipedia.org/wiki/Instagram
What Chinese Province had the largest population until 1997?,Sichuan,https://en.wikipedia.org/wiki/Sichuan
What South African-born businessman is known for his role as CEO and lead designer of SpaceX?,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk
In which city is the Empire State Building located?,New York City,https://en.wikipedia.org/wiki/New_York_City
Name the console that popularized 3D platformers and featured groundbreaking titles that set new standards in the gaming industry.,Nintendo 64,https://en.wikipedia.org/wiki/Nintendo_64
"In what country is the historic city of Florence, considered the birthplace of the Renaissance?",Italy,https://en.wikipedia.org/wiki/Italy
Suffering is a central concept in what religion?,Buddhism,https://en.wikipedia.org/wiki/Buddhism
What space saga is set against the backdrop of a mystical Force that grants individuals extraordinary abilities?,Star Wars,https://en.wikipedia.org/wiki/Star_Wars
"Identify the Marvel superhero who is known for his witty and sarcastic personality, both in the comics and the movies.",Iron Man,https://en.wikipedia.org/wiki/Iron_Man
Name the masterpiece that is often considered the most famous painting in the world.,Mona Lisa,https://en.wikipedia.org/wiki/Mona_Lisa
"What technology company, led by Tim Cook as its current CEO, continues to be a major player in the global tech industry?",Apple,https://en.wikipedia.org/wiki/Apple_Inc.
What city has the biggest population in Michigan?,Detroit,https://en.wikipedia.org/wiki/Detroit
"Identify the character who has faced a variety of villains, including the Mandarin, Obadiah Stane, and Whiplash.",Iron Man,https://en.wikipedia.org/wiki/Iron_Man
Identify the Roman leader who wrote 'Commentarii de Bello Gallico' ('Commentaries on the Gallic War').,Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar
Who is often referred to as the 'King of Rock and Roll' and is one of the most significant cultural icons of the 20th century?,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
What leader was sentenced to life imprisonment during the Rivonia Trial but later released in 1990 as apartheid policies were dismantled?,Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela
What is the practice of killing or trapping any animal called?,Hunting,https://en.wikipedia.org/wiki/Hunting
"In radiation monitoring, what tool is used to measure dose rates?",Geiger counter,https://en.wikipedia.org/wiki/Geiger_counter
"Name the ocean that is home to the Mariana Trench, the deepest part of the world's oceans, reaching depths of over 36,000 feet.",Pacific Ocean,https://en.wikipedia.org/wiki/Pacific_Ocean
Identify the epic tale set in the fictional world of Middle-earth.,The Lord of the Rings,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings
"Identify the nation that has a diverse landscape, including the Pannonian Plain, Dinaric Alps, and Carpathian Mountains.",Serbia,https://en.wikipedia.org/wiki/Serbia
Identify the military commander whose conquest of Gaul marked a significant achievement in Roman history.,Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar
Which MLB team has retired the numbers of legendary players like Al Kaline and Hank Greenberg?,Detroit Tigers,https://en.wikipedia.org/wiki/Detroit_Tigers
"What ancient amphitheater, located in the center of Rome, is one of the most iconic symbols of Roman engineering and architecture?",Colosseum,https://en.wikipedia.org/wiki/Colosseum
"What movie, starring Leonardo DiCaprio, is a satirical take on the excesses and moral bankruptcy of the financial world?",The Wolf of Wall Street,https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)
"Identify the scientific tool that plays a key role in earthquake monitoring, allowing for the early detection of seismic events and their analysis.",Seismometer,https://en.wikipedia.org/wiki/Seismometer
"Name the Wookiee who participated in numerous battles, including the Battle of Endor and the Battle of Kashyyyk.",Chewbacca,https://en.wikipedia.org/wiki/Chewbacca
"What prominent figure, born in 1904, played a key role in the Los Alamos Laboratory and later faced moral and political dilemmas regarding the use of atomic weapons?",Robert Oppenheimer,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer
Who is the eccentric and reclusive chocolatier in Roald Dahl's 'Charlie and the Chocolate Factory'?,Willy Wonka,https://en.wikipedia.org/wiki/Willy_Wonka
What iconic monument is situated just east of the Roman Forum and is a popular tourist attraction in Rome?,Colosseum,https://en.wikipedia.org/wiki/Colosseum
What quarterback led the New England Patriots to six Super Bowl victories?,Tom Brady,https://en.wikipedia.org/wiki/Tom_Brady
Who is the author that is famous for his work 'The Call of Cthulhu'.,H. P. Lovecraft,https://en.wikipedia.org/wiki/H._P._Lovecraft
"Identify the main Harry Potter character who is a Muggle-born witch, meaning she was born to non-magical parents.",Hermione Granger,https://en.wikipedia.org/wiki/Hermione_Granger
"What Pokémon, created by Nintendo, Game Freak, and Creatures, has become one of the most recognizable and iconic characters in the world?",Pikachu,https://en.wikipedia.org/wiki/Pikachu
Identify the author whose legendarium includes works such as 'The Silmarillion' and 'The Children of Húrin.',Tolkien,https://en.wikipedia.org/wiki/J._R._R._Tolkien
"Identify the wrestler who has released a rap album titled 'You Can't See Me,' featuring the single 'The Time Is Now.'",John Cena,https://en.wikipedia.org/wiki/John_Cena
"Name the artist who collaborated with Lil Jon and Ludacris on the chart-topping single 'Yeah!,' which became a dance anthem.",Usher,https://en.wikipedia.org/wiki/Usher_(musician)
Identify the figure whose assassination led to a power struggle in Rome and the rise of the Roman Empire.,Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar
"Name the performer whose portrayal of iconic characters, such as Hannibal Lecter and Odin in the Marvel Cinematic Universe, has left a lasting impact on audiences.",Anthony Hopkins,https://en.wikipedia.org/wiki/Anthony_Hopkins
"Identify the animated character who works at the Springfield Nuclear Power Plant, holding a position that involves pressing buttons and sleeping on the job.",Homer Simpson,https://en.wikipedia.org/wiki/Homer_Simpson
Identify the artist who was knighted by Queen Elizabeth II for his services to music.,Paul McCartney,https://en.wikipedia.org/wiki/Paul_McCartney
"Identify the football player who holds the record for the most career touchdown passes in a single season, achieving the feat at age 44.",Tom Brady,https://en.wikipedia.org/wiki/Tom_Brady
Which element has a enthalpy of combustion at −286 kJ/mol?,Hydrogen,https://en.wikipedia.org/wiki/Hydrogen
Who was the host on americas got talent from 2009 to 2016?,Nick Cannon,https://en.wikipedia.org//w/index.php?title=Nick_Cannon
"Name the theorem, attributed to an ancient Greek mathematician, that provides a fundamental relationship between the sides of a right triangle.",Pythagorean theorem,https://en.wikipedia.org/wiki/Pythagorean_theorem
What is the country in Central Europe known for its stunning alpine landscapes and historic architecture?,Austria,https://en.wikipedia.org/wiki/Austria
Name the group whose album 'The Game' featured the chart-topping single 'Crazy Little Thing Called Love'.,Queen,https://en.wikipedia.org/wiki/Queen_(band)
Who is the actor known for his portrayal of Walter White in the critically acclaimed television series 'Breaking Bad'?,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston
Identify the performer known for his iconic portrayal of Mitch Buchannon in the TV series 'Baywatch.',David Hasselhoff,https://en.wikipedia.org/wiki/David_Hasselhoff
Who was the artist that performed at the Super Bowl halftime show in 2005?,Paul McCartney,https://en.wikipedia.org/wiki/Paul_McCartney
"What country is recognized for its traditional music, including the Guča Trumpet Festival?",Serbia,https://en.wikipedia.org/wiki/Serbia
"Who returned to chess in 1992 to play a rematch against Spassky in Yugoslavia, violating sanctions?",Bobby Fischer,https://en.wikipedia.org/wiki/Bobby_Fischer
Name the developer that transitioned from creating platformers like 'Crash Bandicoot' to more narrative-driven games.,Naughty Dog,https://en.wikipedia.org/wiki/Naughty_Dog
"Identify the superhero who, in the Marvel Cinematic Universe, is portrayed by actor Chris Evans.",Captain America,https://en.wikipedia.org/wiki/Captain_America
"Which TV Series from 2006 had the actors Amanda Bynes, Channing Tatum, Laura Ramsey and Vinnie Jones?","She's the Man'https://en.wikipedia.org//w/index.php?title=She%27s_the_Man""",
"What Martin Scorsese-directed film, released in 2013, is based on the memoir of Jordan Belfort?",The Wolf of Wall Street,https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)
Identify the mountain known locally as 'Sagarmatha' in Nepal and 'Chomolungma' in Tibet.,Mount Everest,https://en.wikipedia.org/wiki/Mount_Everest
Who is credited with the discovery of the principle of buoyancy in fluid mechanics?,Archimedes,https://en.wikipedia.org/wiki/Archimedes
Name the artist who co-wrote many of The Beatles' most famous songs with John Lennon.,Paul McCartney,https://en.wikipedia.org/wiki/Paul_McCartney
What Swiss professional tennis player is widely regarded as one of the greatest in the history of the sport?,Roger Federer,https://en.wikipedia.org/wiki/Roger_Federer
"Identify the team that has a youth academy, La Masia, renowned for developing talented young players.",FC Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona
What Roman leader played a crucial role in the Battle of Pharsalus against Pompey?,Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar
Where is the Uruguayan Basketball League headquartered?,Montevideo,https://en.wikipedia.org/wiki/Montevideo
"What quarterback is known for his partnership with coach Bill Belichick, resulting in sustained success for the New England Patriots?",Tom Brady,https://en.wikipedia.org/wiki/Tom_Brady
"What doll character, created by Ruth Handler, has become a symbol of the American toy industry and a representation of the evolving role of women in society?",Barbie,https://en.wikipedia.org/wiki/Barbie
Name the psychologist who introduced the idea of the unconscious mind and its influence on human behavior.,Sigmund Freud,https://en.wikipedia.org/wiki/Sigmund_Freud
In which country notable figures born like Marie Curie and Nicolaus Copernicus?,Poland,https://en.wikipedia.org/wiki/Poland
Name the actor who made cameo appearances in films like 'SpongeBob SquarePants: The Movie' and 'Guardians of the Galaxy Vol. 2.',David Hasselhoff,https://en.wikipedia.org/wiki/David_Hasselhoff
"What iconic video game character was designed by artist Naoto Ohshima and Yuji Naka, becoming a flagship figure for Sega and the gaming industry?",Sonic the Hedgehog,https://en.wikipedia.org/wiki/Sonic_the_Hedgehog
"Which military genius achieved notable victories in battles like Trebia, Lake Trasimene, and Cannae?",Hannibal,https://en.wikipedia.org/wiki/Hannibal
Which tech giant is the creator of the macOS and iOS operating systems?,Apple,https://en.wikipedia.org/wiki/Apple_Inc.
Name the shared universe in which the Justice League comes together to combat powerful threats.,DC Extended Universe,https://en.wikipedia.org/wiki/DC_Extended_Universe
"Name the performer who has portrayed historical figures like Richard Nixon, Pablo Picasso, and Alfred Hitchcock with great skill and authenticity.",Anthony Hopkins,https://en.wikipedia.org/wiki/Anthony_Hopkins
Identify the video game that follows the journey of Joel and Ellie as they navigate dangerous landscapes in a quest for survival.,The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us
What empire spanned three continents and lasted for over six centuries before its dissolution in the 20th century?,Ottoman Empire,https://en.wikipedia.org/wiki/Ottoman_Empire
Which country was the birthplace of the famous psychoanalyst Sigmund Freud?,Austria,https://en.wikipedia.org/wiki/Austria
"What historical figure is associated with the parting of the Red Sea, allowing the Israelites to escape the pursuing Egyptian army?",Moses,https://en.wikipedia.org/wiki/Moses
Which network is known for broadcasting critically acclaimed shows such as The Sopranos and The Wire?,HBO,https://en.wikipedia.org/wiki/HBO
"Which South American country has the official language of Portuguese, distinguishing it from its neighbors?",Brazil,https://en.wikipedia.org/wiki/Brazil
"Where can you visit the beautiful island of Sicily, known for its diverse landscapese?",Italy,https://en.wikipedia.org/wiki/Italy
"Name the company that produces the '3 Series,' '5 Series,' and '7 Series' among its lineup of luxury cars.",BMW,https://en.wikipedia.org/wiki/BMW
Which footballer has won the FIFA Ballon d'Or four times?,Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo
"Name the actor who has transitioned to a successful career in Hollywood, starring in films such as 'Trainwreck' and 'Bumblebee.'",John Cena,https://en.wikipedia.org/wiki/John_Cena
"What game developer is famous for its mascot, a cartoonish orange bandicoot named Crash?",Naughty Dog,https://en.wikipedia.org/wiki/Naughty_Dog
"Which ocean, often referred to as the 'peaceful sea'?",Pacific Ocean,https://en.wikipedia.org/wiki/Pacific_Ocean
Name the nation where the famous playwright William Shakespeare was born and spent much of his life.,England,https://en.wikipedia.org/wiki/England
Identify the Japanese automaker that is known for its 'Lean Manufacturing' principles.,Toyota,https://en.wikipedia.org/wiki/Toyota
"Which country is known for its diverse ecosystems, ranging from the Amazon Rainforest to the Pantanal?",Brazil,https://en.wikipedia.org/wiki/Brazil
Who is the bumbling and often inappropriate main character of the animated television series 'Family Guy'?,Peter Griffin,https://en.wikipedia.org/wiki/Peter_Griffin
In which European nation will you find the romantic city of Venice?,Italy,https://en.wikipedia.org/wiki/Italy
What is the largest city in the U.S. without formal zoning?,Houston,https://en.wikipedia.org/wiki/Houston
"Identify the comedy team that is known for its catchphrase 'And now for something completely different,' signaling a shift to a new and unexpected sketch.",Monty Python,https://en.wikipedia.org/wiki/Monty_Python
"What influential British comedy troupe, known for its surreal and absurd humor, created the television series 'Flying Circus'?",Monty Python,https://en.wikipedia.org/wiki/Monty_Python
Name the historical figure whose life and death are depicted in a play by William Shakespeare.,Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar
"What country, with a diverse culinary tradition, is known for dishes like pierogi, kielbasa, and bigos?",Poland,https://en.wikipedia.org/wiki/Poland
"Identify the celebrity who gained widespread fame through the reality TV series 'The Simple Life,' which she starred in alongside Nicole Richie.",Paris Hilton,https://en.wikipedia.org/wiki/Paris_Hilton
"Name the artist who collaborated with Pink, Lil' Kim, and Mýa on the chart-topping song 'Lady Marmalade.'",Christina Aguilera,https://en.wikipedia.org/wiki/Christina_Aguilera
"Who was the basketball icon often referred to as the 'Black Mamba,' a nickname he gave himself as a representation of his on-court mentality?",Kobe Bryant,https://en.wikipedia.org/wiki/Kobe_Bryant
"Where can you explore the art treasures of the Renaissance, including works by Michelangelo, Leonardo da Vinci, and Botticelli?",Italy,https://en.wikipedia.org/wiki/Italy
"What gaming system introduced the Rumble Pak, an accessory that added force feedback to the controller for a more immersive gaming experience?",Nintendo 64,https://en.wikipedia.org/wiki/Nintendo_64
"What Balkan nation has a diverse cultural and historical heritage, with influences from both Western and Eastern civilizations?",Serbia,https://en.wikipedia.org/wiki/Serbia
"Identify the CEO who has expressed interest in the concept of a high-speed transportation system known as the Hyperloop, which could revolutionize long-distance travel.",Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk
"Which movie features the main character Dom Cobb, a skilled extractor of secrets from people's dreams.",Inception,https://en.wikipedia.org/wiki/Inception
Identify the character who operates from a cave located beneath Wayne Manor.,Batman,https://en.wikipedia.org/wiki/Batman
What car brand has a logo featuring three overlapping ellipses?,Toyota,https://en.wikipedia.org/wiki/Toyota
Identify the character whose backstory involves being the captain of the Black Pearl before losing it to Hector Barbossa.,Jack Sparrow,https://en.wikipedia.org/wiki/Jack_Sparrow
"Name the band that embarked on the 'Use Your Illusion Tour' in the early 1990s, setting attendance records.",Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses
Name the groundbreaking science fiction film released in 1999 that explores virtual reality and artificial intelligence.,The Matrix,https://en.wikipedia.org/wiki/The_Matrix
"Name the politician who survived an assassination attempt in 1981, just a few months into his presidency.",Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan
What is the first book in the bible? ,Book of Genesis,https://en.wikipedia.org/wiki/Book_of_Genesis
